序号,事件标题,日期,链接,数据来源,投诉对象,投诉要求,投诉内容,投诉进度
144,树童英语番禺喜盈中心一直拖延退费,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355197637/,投诉,树童英语课程中心,退款,本人于2020年11月27日购买了3年树童英语课程，接着因为疫情原因不断反复停课。我的体验课到现在还没有上完，购买的课程也没有用上，因为特殊的原因，于2021年7月26日与校区老师申请退费，校区已经沟通同意并提交了相关退费资料，回复我说要30个工作日才能退费，30个工作日以后，校区老师告知总部财务在做管控，还需要些...,处理中
145,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355370012/,投诉,树童英语课程中心,退款,我充值500多自己在里面挣4000多，昨天还能上今天就不让上啦，提现不了，还骗我钱,处理中
146,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355361306/,投诉,树童英语课程中心,退款,本人2020年10月11日在重庆财信校区报了树童幼儿国际版课程240节，缴费12320元，剩余未消耗课时费9858.14元，2021.10.8日接到校区通知停课，费用也拖着不退，也不解决问题，恳求曝光此案，得到地方相关部门督促整改，解决问题。,处理中
147,虚假广告宣传，购买后不给退款，协商好多次踢气球,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355065745/,投诉,乐友孕婴童,退款,乐友推出活动页面，购买后与页面宣传内容相差甚远，要求退款，联系客服，多次沟通无果！,已回复
148,树童英语停课疑似跑路,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355307759/,投诉,树童英语课程中心,退款,本人2021年3月19在树童为小孩子报名英语培训费共计15239元（大宝2年培训费 小宝1年培训费），目前学校已暂停上课，学校大门已关，联系学校老师，被告知退费无法处理。现培训机构近350个小孩无法正常进行培训学习，费用600万左右得不到退款，希望能够通过贵平台正当合法的维护我们的权益。,处理中
149,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355335120/,投诉,树童英语课程中心,退款,本人在树童英语广州花都南华教育城校区，交了一年的学费，上了一半的课程。突然被通知停课且无法联系到校区负责人办理退费手续。涉嫌欺诈，要求退费,处理中
150,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355327510/,投诉,树童英语课程中心,退款,树童创课大良西山中心，先后推行游学套餐，一个59800，一个35800，还有三年的英语课程17940，现在课程才上不到二年，就停课，不履行合约，也不退费，希望有关部门能给我们跟进，还老百姓一个朗朗乾坤,处理中
151,树童英语停课疑似跑路,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355428371/,投诉,树童英语课程中心,退款,2021年四月份在广东省东莞市清溪镇报名了树童英语，2021年十月份学校以种种理由未给学生上课，现在倒闭了,处理中
152,拒绝提供当初承诺的精修底片,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355430998/,投诉,时光baby儿童影像馆,要求提供精修片或赔偿,在2020年七月在该店拍摄孕妇照，结果没有给我精修底片，找负责人和店面工作人员解决，结果说系统更新，找不见了，明确说不给解决，我的诉求，要么提供当初承诺的精修底片，要么照价赔偿。,处理中
153,尽快3日内退款,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355017584/,投诉,树童英语课程中心,退款,7月买的树童英语课，一节没上，8月14日申请退款，至今一个月了还没有退，收费不符合政策要求，一次性收了两年的课时费。与广州市凯特文化传播有限公司签的协议。要求三日内全额退款,处理中
154,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355370012/,投诉,树童英语课程中心,退款,我充值500多自己在里面挣4000多，昨天还能上今天就不让上啦，提现不了，还骗我钱,处理中
155,树童英语番禺喜盈中心一直拖延退费,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355197637/,投诉,树童英语课程中心,退款,本人于2020年11月27日购买了3年树童英语课程，接着因为疫情原因不断反复停课。我的体验课到现在还没有上完，购买的课程也没有用上，因为特殊的原因，于2021年7月26日与校区老师申请退费，校区已经沟通同意并提交了相关退费资料，回复我说要30个工作日才能退费，30个工作日以后，校区老师告知总部财务在做管控，还需要些...,处理中
156,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319025/,投诉,树童英语课程中心,退款,2021年7月17日在树童给孩子交了3年的英语培训费，一天课没上，现在要求退费，校区以各种理由推拖,处理中
157,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355321163/,投诉,树童英语课程中心,退款,本人于2021年3月27日为小孩缴纳英语培训班一年半的费用合计6590元，9月中旬开始就因各种原因如请假学员较多而推延课程，现更明确表示新树童总部原因，暂定授课，希望能通过贵平台正当合法的维护我们的权益。,处理中
158,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355327552/,投诉,树童英语课程中心,退款,本人于5.23在树童英语大良校区培训机构购买了大概23090元的课程（其中19880是新加波游学预付金，承诺以后决定不游学全额退款，2980元为一年的学费），今天接到通知停课 ，大门紧闭 ，联系校长要求退款得到回复是没钱退，钱总公司收取了，分公司一分钱也没收到,处理中
159,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325172/,投诉,树童英语课程中心,退款,2021.9.20报的课程，一共13540（其中一个课程12560，另外还有里面一个老师转过来的980的课程），本安排国庆节之后上课的，现在连一节课都没上，校区（广州番禺区南村同创中心）关门了，退费找不到人。,处理中
160,树童英语总部卷款跑路，担心分店随时人去楼空，要求退款,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355328483/,投诉,树童英语课程中心,退款,2020年8月20日交款10940，当时承诺不想学随时可以退款，现在课程还有一年多，总部已跑，分店随时可能撤离，要求退款,处理中
161,360过保维修价格奇高,2021-09-22,https://tousu.sina.com.cn/complaint/view/17355073921/,投诉,360儿童手表,"维修,维修定义合理价格",19年在淘宝旗舰店买的360 8X手表（其中因质量问题换过显示屏）这个月孩子不小心把屏幕摔坏了，于13号寄到深圳某360指定维修中心维修！今天维修点给我致电说明要维修的内容：换屏幕、FPC、后壳、表带报价220元，我跟客服提出360旗舰店目前售价279，我手表买来160多元，维修就要这么贵我有点接受不了，况且我只是屏幕坏了...,处理中
162,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355339087/,投诉,树童英语课程中心,退款,本人在2020年10月购买了树童英语课程5年课程，但是本月5日被通知树童不再提供英语教育，且此公司的法人表示剩余的课程不会给予退款。剩余155节课程都无法继续上，差不多还剩15000元左右的费用需要退款，希望能得到解决。谢谢,处理中
163,武汉徐东校区树童校区,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355342821/,投诉,树童英语课程中心,"退款,赔偿",2021.6.25号缴费9980.于2021年10.9号告知不继续上课，关门，跑路，退款无门，,处理中
164,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355359547/,投诉,树童英语课程中心,退款,我是树童英语广州文德校区的学生家长，2020年10月28日购买线下面授课程，至今还有价值一万元课程未消耗，树童英语各校区突然宣布因资金问题，全面停课，无法正常运营。 员工工资，房租等尚拖欠数月，家长退学费更无力实现！光分校区便有几百万退款申请！全国200余家校区，总金额高达上亿元！ 请政府重视此案件，...,处理中
165,树童卷款学费，跑路了,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355358677/,投诉,树童英语课程中心,退款,我跟众多家长一样，都是在2019年至今不段给广东树童英语机构，交学费。总费用约交了40000万左右，其中12800是当金牌学员，校方当时说三年内学完课程后，9.5折退预存费用，即12160元。但从2021年9月开始就没再上过课了，现在我还有23节线下课和286节线上一对一口语课未上，合计人民币约22000元。现在校区已停电关门，老师...,处理中
166,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355359880/,投诉,树童英语课程中心,退款,本人于2019年4月29日交了58800元给树童英语培训中心。2年到期将9.5折退还55860元，已申请退款手续，树童用各种理由不给于退款。并在2021年10月8日各个地区消息显示树童老板李小静，地王法人周芳丽意将款项金额占为己有。现在各分校机构关闭。,处理中
167,树童英语复兴路店拒绝退款申请,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355384811/,投诉,树童英语课程中心,退款,本人2020年11月11日在杭州树童英语复兴路店为小孩报名了3年的英语培训，花费1.5万左右。当时报名的时候也问过培训机构的负责人是否可以中途退款，当时也明确表明是可以的。现要求推掉未使用的课时，负责人给我们的回复是说总部已不接受退费申请。希望相关部门以及负责人妥善处理，尽快退费。,处理中
168,树童英语申请退款不给退款,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355346715/,投诉,树童英语课程中心,退款,我是9月3号申请剩下课时申请退费，当时报名的时候说不上了都可以退款也答应了一个月后退款，但是30天到了现在不给退款，说没有钱退款，个种理由不退,处理中
169,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355346231/,投诉,树童英语课程中心,退款,20年6月微加盟费12万，合同约定1年内部设校区退款，但目前人都找不到，退款无门,处理中
170,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355327552/,投诉,树童英语课程中心,退款,本人于5.23在树童英语大良校区培训机构购买了大概23090元的课程（其中19880是新加波游学预付金，承诺以后决定不游学全额退款，2980元为一年的学费），今天接到通知停课 ，大门紧闭 ，联系校长要求退款得到回复是没钱退，钱总公司收取了，分公司一分钱也没收到,处理中
171,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355325172/,投诉,树童英语课程中心,退款,2021.9.20报的课程，一共13540（其中一个课程12560，另外还有里面一个老师转过来的980的课程），本安排国庆节之后上课的，现在连一节课都没上，校区（广州番禺区南村同创中心）关门了，退费找不到人。,处理中
172,树童英语总部卷款跑路，担心分店随时人去楼空，要求退款,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355328483/,投诉,树童英语课程中心,退款,2020年8月20日交款10940，当时承诺不想学随时可以退款，现在课程还有一年多，总部已跑，分店随时可能撤离，要求退款,处理中
173,树童英语停课疑似跑路,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355421554/,投诉,树童英语课程中心,退款,"在树童英语广州市增城区新塘广场校区李老师的多次推销下，本人在2021年7月17日在树童英语广州市增城区新塘广场校区给孩子报名了英语培训课程，用支付宝花呗支付了广州树童教育咨询有限公司9980元课程培训费，课程期限为两年4期，课程总课次为96次，每次上课时间为2小时，课程内容为朗文1A,1B,2A,2B，李老师说等2021年10...",处理中
174,树童英语退费难,2021-10-15,https://tousu.sina.com.cn/complaint/view/17355431899/,投诉,树童英语课程中心,退款,突然收到通知，钱也不知道什么时候能退，就让等通知,处理中
175,树童英语停课疑似跑路,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355392224/,投诉,树童英语课程中心,退款,本人于2020年8月，花9980元，为小孩在树童惠州麦地海博校区报名了课程，上到2021年7月份，小孩不想上了，当时就要求退款一年的课程，也就是4980元，树童的老师同意了，但是一直说在走流程，现在却说总部跑路了，她们校区也没钱退不了，恳请相关部门帮忙解决！,处理中
176,树童英语预售多年课程，突然全广州关门停课，不退家长血汗钱。,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355397544/,投诉,树童英语课程中心,退款,本人于2020年10月29日在树童老师的游说下购买了9940元共96次课程。直到2021年10月8日通过网络才知道树童英语（现树童创课）全广州大规模普遍都关门停课，询问老师后得到证实。期间因为双减想着退费，但学校给出是对树童绝对不会有影响，因为她们现在是树童创课，属于艺术类别。 树童英语无视双减，销售多年课程，且从不...,处理中
177,树童英语停课疑似跑路,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355403697/,投诉,树童英语课程中心,退款,于2021年5月8号交了13400，两年半的课程，现树童停业停课，不能上课也不肯退款,处理中
178,树童英语停课疑似跑路,2021-10-13,https://tousu.sina.com.cn/complaint/view/17355405952/,投诉,树童英语课程中心,退款,树童英语携钱跑路，关门不给孩子上课，不退款，请政府部门重视！还我们的血汗钱！,处理中
179,树童英语停课疑似跑路,2021-10-14,https://tousu.sina.com.cn/complaint/view/17355408974/,投诉,树童英语课程中心,退款,树童英语李小静卷款跑路，门店关门，不上课，不退费。,处理中
180,树童英语停课疑似跑路,2021-10-18,https://tousu.sina.com.cn/complaint/view/17355477968/,投诉,树童英语课程中心,退款,我与树童签订协议交费是5月，协议是六月13日盖章号才拿来给我签字，然后发票没到，课程暑假里时间冲突没安排上，到九月开学才开始上，三年的费用，一共上了不到五次就接到说总部倒闭了，退不了费，杭州只能等新投资人接手,处理中
181,两次季卡的费用，都无法使用,2021-09-19,https://tousu.sina.com.cn/complaint/view/17355033474/,投诉,米兔儿童会员,退款,在米兔儿童乐园里充值后没有任何订单信息，打电话客服是TCL的，说是查不到订单，然后给了个小米的客户400电话，打过去根本和米兔不相关的。,处理中
182,机器问题,2021-09-18,https://tousu.sina.com.cn/complaint/view/17355011291/,投诉,电小童充电宝,赔偿,但是我使用了一个半小时左右就归还了，因为发现没有给我退回押金我就去试了试还弄不弄得出来，发现出不来，我就看了了客服那个说三到五分钟就会自动退换我就走了，后来一直没有退回来，还一直在收费，现再给我扣了60块？,待分配
183,请相关部门帮忙协调树童英语可逸江畔办学中心退回12132元,2021-09-23,https://tousu.sina.com.cn/complaint/view/17355095811/,投诉,树童英语课程中心,退款,本人于2021年8月14日向树童英语番禺可逸江畔办学中心申请退回学费12132元，办学中心当时同意并开具了退费回执单，但至今已经过去一个半月了，本人催促退费时，办学中心却推迟退费，并答复分三次才能退回，且第一次退款时间更是延迟到下个月底。请相关部分帮忙处理，帮忙争取退回我们的血汗钱。,处理中
184,排名奖励发放问题,2021-10-02,https://tousu.sina.com.cn/complaint/view/17355236053/,投诉,有杀气童话2,补发我应得的奖励,排名奖励中188元现金红包未发放，多吃反馈后依旧是没有任何回复，现在客服电话也打不通了。,待分配
185,树童英语关门跑路,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355306882/,投诉,树童英语课程中心,退款,在树童英语连报了两次两年课时，金额共25138元。现机构忽然关门停课，也无法联系上负责人。机构或已跑路。现需投诉法定人，要求退费。,处理中
186,南昌市西湖区树童英语汇海校区不退款,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355294905/,投诉,树童英语课程中心,退款,我家孩子2020年8月在树童交了五年的学费12800元，于2021年8月6申请退款，说十月份会退，10月6日老师宣布停工停课。现请求帮助,处理中
187,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355311261/,投诉,树童英语课程中心,退款,树童创客总部跑路，现在培训机构大门禁闭，孩子无法上课也无法退费！据说总部出现问题之后，还在让家长升级学费，招生招投资人，有人投十几万的，有人交四五万投资的。但绝大部分都是为了孩子，咬牙交了一年两年的学费，都是血汗钱啊！我报了一年送一年的课程共缴费10460元。,处理中
188,树童，请还我血汗钱,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355306745/,投诉,树童英语课程中心,退款,本人于2019年9月和11月，陆续为小孩报名金额为12600.00和8340.00的课程，机构校长回复还剩余13059.00的金额没有上完，现在申请退款，但该机构一直没有跟进并且态度傲慢，请相关部门帮忙跟进监督，谢谢。,处理中
189,树童英语培训中心不按合同约定退款,2021-10-06,https://tousu.sina.com.cn/complaint/view/17355296112/,投诉,树童英语课程中心,退款,我在2018年与树童英语培训中心签订合同约定，我支付39800元给树童，由树童英语提供3年英语培训服务，3年到期后，我可以申请退款31200元，退款将在30天内到账。今年5月向树童提出了申请，但树童一直迟迟不予退款，电话，上门多次，均沟通未果。请问，树童英语为什么不按合同约定退款。是要跑路吗？,处理中
190,树童英语不能正常上课，退费问题几个月了也不给解决,2021-10-07,https://tousu.sina.com.cn/complaint/view/17355303534/,投诉,树童英语课程中心,退款,暑假到现在一直不能正常上课，期间还发生了很多的问题，和校区的校长多次沟通，每次都在推脱，现在郑州这边几个校区老师工资都发不下来，门店也一直都没有开门，我们交了3年的学费，刚上还不到半年，现在联系校区也解决不了问题，说是钱都收到广东总部了，我们联系不到那边，校区也无法退款，希望能够帮助我们要到退款，...,处理中
191,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355356594/,投诉,树童英语课程中心,退款,2020年报读树童英语培训机构四川省成都市蜀跃路校区，缴纳10000余元，2021年5月树童任课老师喊我续费（老师、校长在明知总部出现了拖欠工资的情况下），缴纳6980元，2021年10月8日，老师一纸公告告知我们总部拖欠工资，停课停工，校长、法人均不出面，该校区涉及家长300余人，涉及金额300万左右，要求其退还缴纳的学费,处理中
192,树童英语停课疑似跑路,2021-10-11,https://tousu.sina.com.cn/complaint/view/17355357940/,投诉,树童英语课程中心,退款,本人2021年6月19日在树童英语财富广场校区买了两年课时，10月7日说停课了，去了财富校区也是门锁紧闭，麻烦要求退还余额8940.39元，谢谢！,处理中
193,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355343408/,投诉,树童英语课程中心,退款,2021年5月购买的树童课程，上上停停，一共上了8次课，要求退费，退不掉。信阳地区一样情况的还有几百位家长,处理中
194,树童英语停课疑似跑路,2021-10-10,https://tousu.sina.com.cn/complaint/view/17355349337/,投诉,树童英语课程中心,退款,树童英语停课了，不退费。有27160元费用没有退，还有二三十节课没上完，总计三万最少,处理中
195,广东树童教育顾问有限公司,2021-09-30,https://tousu.sina.com.cn/complaint/view/17355210245/,投诉,树童英语课程中心,退款,2018年11月交了12960元的英语培训费，里面包含游学费用，合同里明确写明课程结束后没有去游学的，可以退还费用4294.08元。2021年5月13日课程结束后提出申请，一直到现在都没有退费，联系上课的广州白云黄边校区的老师，各种忽悠，找借口拖延。,处理中
196,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355340064/,投诉,树童英语课程中心,退款,树童英语培训中心无故停课且不退费，希望能够继续上课或者退还剩余费用,处理中
197,树童英语停课疑似跑路,2021-10-12,https://tousu.sina.com.cn/complaint/view/17355384894/,投诉,树童英语课程中心,退款,本人2020年11月11日在杭州树童英语复兴路店为小孩报名了3年的英语培训，花费1.5万左右。当时报名的时候也问过培训机构的负责人是否可以中途退款，当时也明确表明是可以的。现要求推掉未使用的课时，负责人给我们的回复是说总部已不接受退费申请。希望相关部门以及负责人妥善处理，尽快退费。,处理中
198,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355317304/,投诉,树童英语课程中心,退款,2019年8月1日在番禺市桥校区签定合同，就读番禺繁华路乐华街27号校区，合同金额78800，办理四年银行分期，目前还在月供还款中，每月还款1860，合约内规定8年内中途无法提供英语课程服务则30个工作日内按所缴学费80/100退还。我30天前提出终止合约，一直拖延不回复。未按缴费金额开发票。有一小时和广州负责人面谈取消合...,处理中
199,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319077/,投诉,树童英语课程中心,退款,我在2018年 5月31与树童英语培训中心签订合同约定，我支付39800元给树童，由树童英语提供3年英语培训服务，3年到期后，我可以申请退款31840元，退款将在30天内到账。今年8月5日向树童提出了申请，但树童一直迟迟不予退款，电话，上门多次，沟通末果，一次推一推，现在还不接电话，因家里有些变故，急需要用钱，希望树童...,处理中
200,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319503/,投诉,树童英语课程中心,退款,我在树童英语交了钱，第二天要求退款，但她们说要等九月底才退的，等到10月了都还没到账，我一节课都没上过，白白被人骗了一万多，老师四个月没工资出，大概都知道发生什么问题，居然还在推销，白明是骗人的，交钱时老师还没担保不会倒闭的，可过了没多久就说倒闭，你说是不是摆明骗人的,处理中
201,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355319503/,投诉,树童英语课程中心,退款,我在树童英语交了钱，第二天要求退款，但她们说要等九月底才退的，等到10月了都还没到账，我一节课都没上过，白白被人骗了一万多，老师四个月没工资出，大概都知道发生什么问题，居然还在推销，白明是骗人的，交钱时老师还没担保不会倒闭的，可过了没多久就说倒闭，你说是不是摆明骗人的,处理中
202,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355324393/,投诉,树童英语课程中心,退款,不能正常上课，，，英语现在不能正常上课。,处理中
203,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355324370/,投诉,树童英语课程中心,退款,树童英语（已改名树童创课）近日多个校区关停倒闭，我家前往树童英语帝景苑校区办理退费，负责人跑路，在场员工自述被拖欠工资，家长们无奈被迫寻找渠道维权，寻求退费。,处理中
204,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355323930/,投诉,树童英语课程中心,退款,2021年5月20日给孩子报读树童英语，报读费用19800元/120节课，目前只上了12节课，还剩费用18750，具了解天河校区树童英语骗取3000万，很多家长都买了相关课程，目前很多校区学校无法继续上课，目前找不到相关管理着，也没法退款，现希望给我们家长维权，一定要让管理者得到应有惩罚,处理中
205,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355324107/,投诉,树童英语课程中心,退款,机构卷款跑路，没得上课，也没得退款，要求退款,处理中
206,树童英语停课疑似跑路,2021-10-08,https://tousu.sina.com.cn/complaint/view/17355324305/,投诉,树童英语课程中心,退款,树童英语珠江新城校区于9月发布信息告知因场地租赁问题需搬迁，之后一再拖延，不开课，直至2021年10月6日突然爆出拖欠员工薪酬，疑似倒闭等各种消息，诉求退还已缴费或转其他校区或机构继续消耗剩余课时。 1、周未国际班自2019年首次报班，共课时70节，自2019年11月起开始消耗课时，截止2020年11月11日剩余课时31节，因...,处理中
207,树童英语停课疑似跑路,2021-10-09,https://tousu.sina.com.cn/complaint/view/17355328695/,投诉,树童英语课程中心,退款,"校外培训机构树童英语在广州的大部分校区于10月7日起突然大规模普遍关店，无工作人员出面退费，疑似卷款跑路。根据新闻媒体""城事特搜""报道：仅广州某校区的初步统计，受害学生就有1500名，金额3000多万元。据不完全统计，树童全国有超过200个中心，在广州有54个校区。作为受害家长，已经通过当地派出所、司法局、教育局...",处理中
