序号,事件标题,日期,区域,产品大类,具体产品,伤害事件,危害源,伤害类别,伤害类型,链接,,
1,又一辆电动车充电时起火，这次是在居民楼地下室,2021/5/26,北京,交通用具及相关产品,电动自行车,5月25日，在朝阳区百环家园2号楼地下室，一辆正在充电的电动车突然起火。,电气危害,财产损失,财产损失,https://news.sina.cn/2021-05-26/detail-ikmyaawc7684991.d.html,,
2,"电动车家中充电,爆燃起火 2人逃生途中受伤",2021/5/26,贵州,交通用具及相关产品,电动自行车电池,5月26日，都匀市七星安置房10楼一住户家发生火灾，经消防部门调查，该起火灾原因为在室内为电动自行车锂电池充电，因锂电池故障起火。,电气危害,烧伤,受伤,https://baijiahao.baidu.com/s?id=1700812885479001304&wfr=spider&for=pc,,
3,郑州一女子给电动车充电引发火灾，听到赔偿时当场晕倒,2021/5/26,河南,交通用具及相关产品,电动自行车,郑州一小区租户为电动车飞线充电导致发生火灾，该小区8辆车被烧。,电气危害,财产损失,财产损失,https://view.inews.qq.com/a/20210526A08A9800,,
4,海宁一宾馆突发爆炸！疑因住客将电动车电瓶带到房内充电引起,2021/5/26,浙江,交通用具及相关产品,电动自行车,5月25日，海宁有一家乡镇宾馆，因住宿客人将电动车电瓶带至房间里充电，电瓶在充电过程中突然发生爆裂。,电气危害,财产损失,财产损失,https://view.inews.qq.com/a/20210526A03WLD00,,
5,南通一小区车库内电瓶车起火60秒爆燃，监控画面触目惊心,2021/5/27,江苏,交通用具及相关产品,电动自行车,5月23日，南通崇川区一车库电瓶车起火引发爆燃。,电气危害,财产损失,财产损失,https://3g.163.com/local/article/GB0CSRBO04249CUF.html,,
6,新买华为手机48℃用得烫手！不到两月故障频出,2021/5/27,江西,电子及信息技术产品,手机,近日，南昌熊先生在华为专卖店买了一部华为Mate40 Pro，不到两个月，手机出现黑屏、卡顿的情况，华为客服通过刷机解决了。但最近他的手机又出现过热的问题。,质量问题,财产损失,财产损失,https://t.cj.sina.com.cn/articles/view/6418480627/m17e923df303300z871?from=digit,,
7,燃气灶爆炸，淘宝平台不跟进，商家不赔偿,2021/5/27,不详,家用电器及电器附件,燃气灶,消费者投诉网购库森好太太韩康店的燃气灶，煮粥时燃气灶起火，一人被烧伤。,危害源不详,烧伤,受伤,https://tousu.sina.com.cn/complaint/view/17353400344/,,
8,直播间售劣质手机，快手电商永久清退朵唯,2021/5/28,广东,电子及信息技术产品,手机,5月28日，快手电商发布公告，对近日诸多媒体及社会关注的快手主播“驴嫂平荣”直播间售卖的“朵唯12Pro”手机事件做了梳理，并公布了最终事件处理结果。针对朵唯出现摄像头、内存错配等问题，快手电商永久清退朵唯所有产品，涉事企业永不合作。,质量问题,财产损失,财产损失,https://new.qq.com/omn/20210528/20210528A0DSHP00.html,,
9,北京一电动车凌晨着火 万幸发生在室外充电车棚,2021/5/28,北京,交通用具及相关产品,电动自行车,5月27日凌晨，北京市海淀区东升镇一平房区发生电动车火灾，一辆正在充电的电动自行车蓄电池突然着火。因事发在室外充电车棚，火灾未造成人员被困。,电气危害,财产损失,财产损失,https://www.163.com/news/article/GB330UOA0001899O.html,,
10,蚌埠一房屋起火，现场烧得黢黑！疑似电瓶车充电短路所致！,2021/5/28,安徽,交通用具及相关产品,电动自行车,"近日，蚌埠市沫河口镇三铺村有房屋着火，店铺着火原因疑是房主
将电瓶车放屋内充电，电线短路导致。",电气危害,财产损失,财产损失,https://3g.163.com/dy/article/GB36ACLS05148M7V.html?referFrom=www.netinsight.com.cn&isFromOtherWeb=true,,
11,江西宜春：惊险！充电宝突然爆炸，整个卧室燃起大火 ,2021/5/29,江西,电子及信息技术产品,充电宝,5月28日，江西宜春高安市凤凰6号一出租屋内弥漫着大量浓烟，火势从屋内的席梦思朝整个卧室蔓延，消防人员赶到后发现，原来造成火灾的罪魁祸首竟然是充电宝。,电气危害,财产损失,财产损失,https://www.sohu.com/a/469406686_120045059,,
12,梅塘镇一民居电动车家中充电起火，有人被困……,2021/5/30,广东,交通用具及相关产品,电动自行车,5月29日，普宁市梅塘镇内丰村附近一民居起火，火灾原因初步调查为电动车违规充电和电气线路故障所致。,电气危害,财产损失,财产损失,https://new.qq.com/rain/a/20210530A07IZY00,,
13,事发阜阳汽车南站附近！电瓶车突发爆燃！,2021/5/30,安徽,交通用具及相关产品,电动自行车,5月29日，阜阳汽车南站附近有一辆电瓶车发生自燃，火势凶猛，转眼间，电瓶车就发生了爆燃。,电气危害,财产损失,财产损失,https://www.163.com/dy/article/GB8Q31T40514EF2B.html,,
14,潮汕一厂发生火灾，疑似通道电动车起火引燃,2021/5/30,广东,交通用具及相关产品,电动自行车,5月24日空港渔湖镇水上乐园金来宝鞋厂起火，起火原因初步了解为通道的电动车起火引燃了周边的可燃物。,电气危害,财产损失,财产损失,https://new.qq.com/omn/20210530/20210530A0AEIM00.html,,
15,小学门口文具店竟卖电子烟！有班级50个学生近半数都在抽,2021/5/30,广东,儿童用品,电子魔术道具,央视财经报道，近日在广东梅州市丰顺县，有市民反映，当地学校周边的一些文具店为了谋取利益，竟私下向小学生售卖电子烟。这些电子烟产品，外包装上标注为“电子魔术道具”，有多种水果口味，有的还可以添加烟油，实际就是电子烟。电子烟可能含有害和潜在有害的物质，如尼古丁、可吸入肺深处的超细颗粒、调味品（如二乙酰，与严重的肺部疾病有关的化学物质）、挥发性有机化合物、致癌化学物质、镍/锡和铅等重金属，各种食源性或非食源性的香精等添加剂，导致肺部疾病。,有毒有害物质,致病,受伤,https://new.qq.com/omn/20210530/20210530A09UCL00.html,,
16,蓝牙耳机发生爆炸自燃,2021/5/30,不详,电子及信息技术产品,蓝牙耳机,消费者投诉在拼多多购买的蓝牙耳机发生自燃爆炸，产品质量有问题。,电气危害,财产损失,财产损失,https://tousu.sina.com.cn/complaint/view/17353445442/,,
